date,lat,lon,confidence
2023-07-11,34.6105,-117.34225,66
2023-07-11,34.33645,-118.52371,66
2023-07-11,34.15381,-118.19615,66
2023-07-11,33.812,-118.2355,66
2023-07-11,33.81054,-118.23459,66
2023-07-11,38.91463,-122.30296,66
2023-07-11,38.91092,-122.30367,66
2023-07-11,38.60397,-121.46956,66
2023-07-11,38.31385,-121.83413,66
2023-07-11,37.76378,-119.5626,66
2023-07-11,37.76043,-119.56783,66
2023-07-11,37.88152,-121.18432,66
2023-07-11,38.01576,-122.11314,66
2023-07-11,37.94302,-122.39543,66
2023-07-11,37.36119,-120.59893,66
2023-07-11,37.45371,-121.93495,66
2023-07-11,36.95936,-120.38026,66
2023-07-11,34.62125,-117.10288,66
2023-07-11,34.60938,-117.33806,66
2023-07-11,34.35279,-116.85492,66
2023-07-11,34.8178,-118.74963,66
2023-07-11,34.33511,-118.51968,66
2023-07-11,34.15159,-118.19524,66
2023-07-11,34.15073,-118.19171,66
2023-07-11,34.29325,-118.80386,66
2023-07-11,33.79539,-117.47533,66
2023-07-11,33.82128,-118.24561,66
2023-07-11,33.81208,-118.22997,66
2023-07-11,33.80478,-118.24397,66
2023-07-11,33.61195,-117.82266,66
2023-07-11,32.93538,-115.32735,90
2023-07-11,32.8834,-115.7079,66
2023-07-11,33.27975,-115.56485,66
2023-07-11,33.82959,-117.2599,90
2023-07-11,33.82839,-117.2644,66
2023-07-11,33.83517,-117.26202,90
2023-07-11,33.83397,-117.26652,66
2023-07-11,38.44207,-120.98846,90
2023-07-11,38.44392,-120.98213,66
2023-07-11,38.44073,-120.98765,90
2023-07-11,38.44258,-120.98146,66
2023-07-11,39.28771,-121.60316,66
2023-07-11,39.28666,-121.60157,66
2023-07-11,39.65882,-121.88696,66
2023-07-11,39.72889,-122.05,66
2023-07-11,39.82847,-122.03699,66
2023-07-11,39.82664,-122.04308,66
2023-07-11,39.82616,-122.03828,66
2023-07-11,32.86147,-115.45187,66
