LAT,LON,WS10M,DATE
37.0,-123.125,6.65,2020-06-02
37.0,-122.5,4.59,2020-06-02
37.0,-121.875,2.01,2020-06-02
37.0,-121.25,2.31,2020-06-02
37.0,-120.625,2.38,2020-06-02
37.0,-120.0,1.8,2020-06-02
37.5,-124.375,9.45,2020-06-02
37.5,-123.75,8.32,2020-06-02
37.5,-123.125,5.99,2020-06-02
37.5,-122.5,3.23,2020-06-02
37.5,-121.875,2.21,2020-06-02
37.5,-121.25,2.87,2020-06-02
37.5,-120.625,1.96,2020-06-02
37.5,-120.0,1.93,2020-06-02
38.0,-124.375,10.11,2020-06-02
38.0,-123.75,8.22,2020-06-02
38.0,-123.125,4.72,2020-06-02
38.0,-122.5,2.48,2020-06-02
38.0,-121.875,2.87,2020-06-02
38.0,-121.25,2.73,2020-06-02
38.0,-120.625,1.45,2020-06-02
38.0,-120.0,2.19,2020-06-02
38.5,-124.375,10.49,2020-06-02
38.5,-123.75,7.73,2020-06-02
38.5,-123.125,3.12,2020-06-02
38.5,-122.5,2.33,2020-06-02
38.5,-121.875,2.33,2020-06-02
38.5,-121.25,1.43,2020-06-02
38.5,-120.625,2.15,2020-06-02
38.5,-120.0,2.18,2020-06-02
39.0,-124.375,10.43,2020-06-02
39.0,-123.75,4.7,2020-06-02
39.0,-123.125,1.6,2020-06-02
39.0,-122.5,1.94,2020-06-02
39.0,-121.875,1.75,2020-06-02
39.0,-121.25,1.57,2020-06-02
39.0,-120.625,2.06,2020-06-02
39.0,-120.0,2.35,2020-06-02
39.5,-124.375,10.2,2020-06-02
39.5,-123.75,2.57,2020-06-02
39.5,-123.125,1.37,2020-06-02
39.5,-122.5,2.53,2020-06-02
39.5,-121.875,1.56,2020-06-02
39.5,-121.25,1.77,2020-06-02
39.5,-120.625,1.84,2020-06-02
39.5,-120.0,2.11,2020-06-02
40.0,-124.375,8.87,2020-06-02
40.0,-123.75,2.12,2020-06-02
40.0,-123.125,1.21,2020-06-02
40.0,-122.5,2.37,2020-06-02
40.0,-121.875,2.52,2020-06-02
40.0,-121.25,1.88,2020-06-02
40.0,-120.625,1.79,2020-06-02
40.0,-120.0,1.77,2020-06-02
40.5,-124.375,6.59,2020-06-02
40.5,-123.75,1.8,2020-06-02
40.5,-123.125,1.23,2020-06-02
40.5,-122.5,1.59,2020-06-02
40.5,-121.875,2.48,2020-06-02
40.5,-121.25,2.2,2020-06-02
40.5,-120.625,2.44,2020-06-02
40.5,-120.0,2.31,2020-06-02
41.0,-124.375,5.85,2020-06-02
41.0,-123.75,1.71,2020-06-02
41.0,-123.125,1.47,2020-06-02
41.0,-122.5,1.53,2020-06-02
41.0,-121.875,1.88,2020-06-02
41.0,-121.25,2.83,2020-06-02
41.0,-120.625,3.12,2020-06-02
41.0,-120.0,3.09,2020-06-02
41.5,-124.375,6.12,2020-06-02
41.5,-123.75,1.76,2020-06-02
41.5,-123.125,1.54,2020-06-02
41.5,-122.5,1.63,2020-06-02
41.5,-121.875,1.82,2020-06-02
41.5,-121.25,2.64,2020-06-02
41.5,-120.625,3.11,2020-06-02
41.5,-120.0,3.04,2020-06-02
42.0,-124.375,5.08,2020-06-02
42.0,-123.75,1.9,2020-06-02
42.0,-123.125,1.48,2020-06-02
42.0,-122.5,1.69,2020-06-02
42.0,-121.875,2.26,2020-06-02
42.0,-121.25,2.85,2020-06-02
42.0,-120.625,2.74,2020-06-02
42.0,-120.0,2.73,2020-06-02
32.5,-119.375,5.86,2020-06-03
32.5,-118.75,5.58,2020-06-03
32.5,-118.125,4.54,2020-06-03
32.5,-117.5,3.37,2020-06-03
32.5,-116.875,2.38,2020-06-03
32.5,-116.25,2.17,2020-06-03
32.5,-115.625,3.43,2020-06-03
32.5,-115.0,2.76,2020-06-03
32.5,-114.375,2.9,2020-06-03
33.0,-119.375,5.95,2020-06-03
33.0,-118.75,5.7,2020-06-03
33.0,-118.125,4.3,2020-06-03
33.0,-117.5,3.27,2020-06-03
33.0,-116.875,2.42,2020-06-03
33.0,-116.25,3.44,2020-06-03
