LAT,LON,T2M,DATE,PS,WS10M,PRECTOTCORR,RH2M
40.5,-120.0,19.98,2020-06-02,85.78,2.31,0.02,44.71
41.0,-124.375,13.09,2020-06-02,101.03,5.85,0.0,89.71
41.0,-123.75,16.48,2020-06-02,94.46,1.71,0.01,76.17
41.0,-123.125,15.47,2020-06-02,88.16,1.47,0.02,73.37
41.0,-122.5,18.12,2020-06-02,89.83,1.53,0.01,63.07
41.0,-121.875,18.34,2020-06-02,89.9,1.88,0.01,63.51
41.0,-121.25,18.25,2020-06-02,86.34,2.83,0.0,54.31
41.0,-120.625,16.79,2020-06-02,83.29,3.12,0.01,54.12
41.0,-120.0,17.28,2020-06-02,82.97,3.09,0.06,50.99
41.5,-124.375,13.67,2020-06-02,100.89,6.12,0.0,85.25
41.5,-123.75,16.02,2020-06-02,93.85,1.76,0.0,76.11
41.5,-123.125,15.41,2020-06-02,88.4,1.54,0.01,69.55
41.5,-122.5,15.97,2020-06-02,87.1,1.63,0.01,64.91
41.5,-121.875,15.47,2020-06-02,85.37,1.82,0.01,67.0
41.5,-121.25,17.5,2020-06-02,85.85,2.64,0.01,57.17
41.5,-120.625,17.6,2020-06-02,84.58,3.11,0.02,51.38
41.5,-120.0,16.81,2020-06-02,83.05,3.04,0.06,52.9
42.0,-124.375,13.17,2020-06-02,100.06,5.08,0.0,83.48
42.0,-123.75,15.56,2020-06-02,93.57,1.9,0.0,75.06
42.0,-123.125,14.92,2020-06-02,89.47,1.48,0.0,70.45
42.0,-122.5,16.15,2020-06-02,88.27,1.69,0.01,63.94
42.0,-121.875,16.09,2020-06-02,86.31,2.26,0.0,65.39
42.0,-121.25,17.46,2020-06-02,86.12,2.85,0.01,56.16
42.0,-120.625,16.63,2020-06-02,84.17,2.74,0.01,54.73
42.0,-120.0,17.06,2020-06-02,83.46,2.73,0.04,51.03
32.5,-124.375,16.67,2020-06-03,101.75,6.04,0.31,86.54
32.5,-123.75,16.62,2020-06-03,101.7,6.25,0.15,88.64
32.5,-123.125,16.61,2020-06-03,101.65,6.51,0.17,89.99
32.5,-122.5,16.67,2020-06-03,101.6,6.75,0.26,91.05
32.5,-121.875,16.57,2020-06-03,101.57,6.95,0.33,92.23
32.5,-121.25,16.21,2020-06-03,101.51,6.83,0.28,93.75
32.5,-120.625,15.92,2020-06-03,101.47,6.71,0.35,95.24
32.5,-120.0,15.88,2020-06-03,101.44,6.47,0.35,95.66
33.0,-124.375,16.55,2020-06-03,101.73,6.56,0.38,87.62
33.0,-123.75,16.52,2020-06-03,101.68,6.62,0.23,89.34
33.0,-123.125,16.4,2020-06-03,101.63,6.66,0.16,90.88
33.0,-122.5,16.31,2020-06-03,101.58,6.72,0.12,92.44
33.0,-121.875,16.25,2020-06-03,101.54,6.8,0.12,93.39
33.0,-121.25,15.86,2020-06-03,101.49,6.6,0.08,94.63
33.0,-120.625,15.58,2020-06-03,101.45,6.5,0.06,96.01
33.0,-120.0,15.65,2020-06-03,101.41,6.4,0.02,96.08
33.5,-124.375,16.31,2020-06-03,101.72,7.07,0.36,88.41
33.5,-123.75,16.31,2020-06-03,101.67,6.92,0.26,89.81
33.5,-123.125,16.17,2020-06-03,101.61,6.73,0.19,91.53
33.5,-122.5,16.04,2020-06-03,101.56,6.56,0.04,93.04
33.5,-121.875,15.97,2020-06-03,101.52,6.54,0.02,94.02
33.5,-121.25,15.63,2020-06-03,101.47,6.29,0.0,95.25
33.5,-120.625,15.21,2020-06-03,101.41,6.28,0.0,96.32
33.5,-120.0,15.49,2020-06-03,101.37,6.53,0.0,95.53
34.0,-124.375,16.11,2020-06-03,101.71,7.56,0.12,88.52
34.0,-123.75,16.04,2020-06-03,101.65,7.24,0.15,90.23
34.0,-123.125,15.88,2020-06-03,101.59,6.83,0.14,92.18
34.0,-122.5,15.64,2020-06-03,101.54,6.44,0.04,93.84
34.0,-121.875,15.59,2020-06-03,101.5,6.25,0.0,94.73
34.0,-121.25,15.25,2020-06-03,101.45,5.76,0.0,96.21
34.0,-120.625,14.97,2020-06-03,101.3,5.54,0.0,95.61
34.0,-120.0,17.22,2020-06-03,100.82,4.73,0.0,81.83
34.5,-124.375,15.7,2020-06-03,101.7,7.9,0.04,88.8
34.5,-123.75,15.58,2020-06-03,101.63,7.48,0.03,90.8
34.5,-123.125,15.52,2020-06-03,101.57,6.98,0.06,92.72
34.5,-122.5,15.39,2020-06-03,101.52,6.43,0.04,94.09
34.5,-121.875,15.38,2020-06-03,101.47,5.99,0.03,95.33
34.5,-121.25,15.03,2020-06-03,101.42,5.19,0.01,96.95
34.5,-120.625,17.49,2020-06-03,100.57,3.88,0.0,77.65
34.5,-120.0,22.52,2020-06-03,97.75,2.25,0.0,49.33
35.0,-124.375,15.52,2020-06-03,101.69,8.26,0.0,88.45
35.0,-123.75,15.37,2020-06-03,101.62,7.83,0.0,90.73
35.0,-123.125,15.31,2020-06-03,101.55,7.18,0.06,92.42
35.0,-122.5,15.17,2020-06-03,101.5,6.49,0.09,94.3
35.0,-121.875,14.93,2020-06-03,101.44,5.81,0.14,96.53
35.0,-121.25,15.36,2020-06-03,101.31,4.48,0.04,93.78
35.0,-120.625,20.5,2020-06-03,99.16,2.28,0.01,61.63
35.0,-120.0,25.69,2020-06-03,94.33,1.67,0.0,38.49
35.5,-124.375,15.51,2020-06-03,101.68,8.87,0.0,87.65
35.5,-123.75,15.14,2020-06-03,101.61,8.25,0.0,90.61
35.5,-123.125,15.2,2020-06-03,101.54,7.38,0.11,92.11
35.5,-122.5,15.02,2020-06-03,101.5,6.71,0.18,94.91
35.5,-121.875,15.16,2020-06-03,101.35,5.0,0.3,94.38
35.5,-121.25,17.81,2020-06-03,100.41,2.17,0.05,75.55
35.5,-120.625,24.11,2020-06-03,97.58,1.92,0.0,47.99
35.5,-120.0,27.27,2020-06-03,96.83,2.04,0.0,37.05
36.0,-124.375,15.28,2020-06-03,101.68,9.41,0.0,87.83
36.0,-123.75,14.84,2020-06-03,101.61,8.52,0.0,90.79
36.0,-123.125,14.88,2020-06-03,101.54,7.37,0.13,92.53
36.0,-122.5,14.73,2020-06-03,101.48,6.21,0.34,95.89
36.0,-121.875,16.93,2020-06-03,100.3,3.25,0.3,80.25
36.0,-121.25,26.54,2020-06-03,96.99,1.65,0.0,36.81
